"id","staticid","updatetime","totime","statesiteid","contribid","description","roadwaydesc","roadwaymilepost","roadwayoffset","roadwayheight","county","state","country","accessdirections","obstructions","landscape","statesystemid"
42,42,2013-03-06 19:51:16.557+00,,"1",2,"Twin Lakes","Interstate 35 @ Mile Post 1",0,20.3999996,0,"Freeborn County","MN","USA",,,,"MN0001"
43,43,2013-03-06 19:51:16.558+00,,"3",2,"Little Chicago","Interstate 35 @ Mile Post 70",70,24.1000004,0,"Rice County","MN","USA",,,,"MN0003"
44,44,2013-03-06 19:51:16.559+00,,"4",2,"Rush City","Interstate 35 @ Mile Post 157",157,25,0,"Chisago County","MN","USA",,,,"MN0004"
45,45,2013-03-06 19:51:16.559+00,,"5",2,"Rutledge / Askov","Interstate 35 @ Mile Post 198",198,17.1000004,0,"Pine County","MN","USA",,,,"MN0005"
1245,1246,2013-03-06 19:51:17.228+00,,"53",19,"Colfax",,0,0,0,"Jasper","IA","USA",,,,
46,46,2013-03-06 19:51:16.56+00,,"6",2,"Beaver Creek","Interstate 90 @ Mile Post 4",3,10.3999996,0,"Rock County","MN","USA",,,,"MN0006"
47,47,2013-03-06 19:51:16.56+00,,"7",2,"Rushmore","Interstate 90 @ Mile Post 35",34,27.1000004,0,"Nobles County","MN","USA",,,,"MN0007"
48,48,2013-03-06 19:51:16.561+00,,"8",2,"Lakefield","Interstate 90 @ Mile Post 67",67,28.7000008,0,"Jackson County","MN","USA",,,,"MN0008"
49,49,2013-03-06 19:51:16.561+00,,"9",2,"Blue Earth","Interstate 90 @ Mile Post 119",118,55.5,0,"Faribault County","MN","USA",,,,"MN0009"
50,50,2013-03-06 19:51:16.562+00,,"10",2,"Dexter","Interstate 90 @ Mile Post 195",194,25,0,"Mower County","MN","USA",,,,"MN0010"
51,51,2013-03-06 19:51:16.563+00,,"11",2,"Eyota","Interstate 90 @ Mile Post 226",225,26.7999992,0,"Itasca County","MN","USA",,,,"MN0011"
52,52,2013-03-06 19:51:16.563+00,,"12",2,"Ridgeway","Interstate 90 @ Mile Post 261",261,23.5,0,"Winona County","MN","USA",,,,"MN0012"
53,53,2013-03-06 19:51:16.564+00,,"13",2,"Dilworth","Interstate 94 @ Mile Post 5",5,34.0999985,0,"Clay County","MN","USA",,,,"MN0013"
54,54,2013-03-06 19:51:16.564+00,,"14",2,"Rothsay","Interstate 94 @ Mile Post 38",37,35.0999985,0,"Otter Tail County","MN","USA",,,,"MN0014"
55,55,2013-03-06 19:51:16.565+00,,"15",2,"Alexandria","Interstate 94 @ Mile Post 104",104,10.6999998,0,"Douglas County","MN","USA",,,,"MN0015"
56,56,2013-03-06 19:51:16.565+00,,"16",2,"Sauk Centre","Interstate 94 @ Mile Post 128",128,27.1000004,0,"Stearns County","MN","USA",,,,"MN0016"
57,57,2013-03-06 19:51:16.566+00,,"17",2,"Clearwater","Interstate 94 @ Mile Post 180",180,20.3999996,0,"Wright County","MN","USA",,,,"MN0017"
58,58,2013-03-06 19:51:16.566+00,,"18",2,"Shooks","State Hwy 1 @ Mile Post 34",146,18,0,"Koochiching County","MN","USA",,,,"MN0018"
59,59,2013-03-06 19:51:16.567+00,,"19",2,"Ely","State Hwy 1 @ Mile Post 34",34,12.5,0,"Saint Louis County","MN","USA",,,,"MN0019"
60,60,2013-03-06 19:51:16.567+00,,"20",2,"Emily","State Hwy 6 @ Mile Post 29",28,29.6000004,0,"Crow Wing County","MN","USA",,,,"MN0020"
61,61,2013-03-06 19:51:16.568+00,,"21",2,"Clara City","State Hwy 7 @ Mile Post 89",89,17.3999996,0,"Chippewa County","MN","USA",,,,"MN0021"
62,62,2013-03-06 19:51:16.568+00,,"22",2,"New Germany","State Hwy 7 @ Mile Post 161",161,21.8999996,0,"McLeod County","MN","USA",,,,"MN0022"
63,63,2013-03-06 19:51:16.569+00,,"24",2,"Donaldson","State Hwy 11 @ Mile Post 11",10,19.7999992,0,"Kittson County","MN","USA",,,,"MN0024"
64,64,2013-03-06 19:51:16.569+00,,"25",2,"Badger","State Hwy 11 @ Mile Post 62",61,18.2999992,0,"Roseau County","MN","USA",,,,"MN0025"
65,65,2013-03-06 19:51:16.57+00,,"26",2,"Birchdale","State Hwy 11 @ Mile Post 157",157,20.3999996,0,"Todd County","MN","USA",,,,"MN0026"
66,66,2013-03-06 19:51:16.571+00,,"27",2,"International Falls","State Hwy 11 @ Mile Post 200",199,4.9000001,0,"Koochiching County","MN","USA",,,,"MN0027"
67,67,2013-03-06 19:51:16.571+00,,"28",2,"Lake Benton","U.S. Hwy 14 @ Mile Post 7",6,8.5,0,"Lincoln County","MN","USA",,,,"MN0028"
68,68,2013-03-06 19:51:16.572+00,,"29",2,"Byron","U.S. Hwy 14 @ Mile Post 200",199,25,0,"Olmsted County","MN","USA",,,,"MN0029"
69,69,2013-03-06 19:51:16.572+00,,"30",2,"Hendricks","State Hwy 19 @ Mile Post 2",1,19.7999992,0,"Lincoln County","MN","USA",,,,"MN0030"
70,70,2013-03-06 19:51:16.573+00,,"31",2,"Morton","State Hwy 19 @ Mile Post 78",78,12.5,0,"Renville County","MN","USA",,,,"MN0031"
71,71,2013-03-06 19:51:16.573+00,,"32",2,"Winthrop","State Hwy 19 @ Mile Post 108",107,14.3000002,0,"Sibley County","MN","USA",,,,"MN0032"
72,72,2013-03-06 19:51:16.574+00,,"33",2,"Hanley Falls","State Hwy 23 @ Mile Post 94",94,13.6999998,0,"Yellow Medicine County","MN","USA",,,,"MN0033"
73,73,2013-03-06 19:51:16.574+00,,"34",2,"Foley","State Hwy 23 @ Mile Post 215",215,9.10000038,0,"Benton County","MN","USA",,,,"MN0034"
74,74,2013-03-06 19:51:16.575+00,,"35",2,"Lastrup","State Hwy 25 @ Mile Post 140",140,21,0,"Morrison County","MN","USA",,,,"MN0035"
75,75,2013-03-06 19:51:16.575+00,,"36",2,"Graceville","State Hwy 28 @ Mile Post 19",19,20.3999996,0,"Big Stone County","MN","USA",,,,"MN0036"
76,76,2013-03-06 19:51:16.576+00,,"37",2,"Starbuck","State Hwy 29 @ Mile Post 46",45,18.2999992,0,"Pope County","MN","USA",,,,"MN0037"
77,77,2013-03-06 19:51:16.576+00,,"38",2,"Dovray","State Hwy 30 @ Mile Post 49",49,13.6999998,0,"Murray County","MN","USA",,,,"MN0038"
78,78,2013-03-06 19:51:16.577+00,,"40",2,"Hokah","State Hwy 44 @ Mile Post 60",60,7.9000001,0,"Houston County","MN","USA",,,,"MN0040"
1588,1897,2013-03-06 19:51:17.399+00,,"582-5",38,"SR 64 SLM 6.0 Fulton County",,0,0,0,,,,,,,
79,79,2013-03-06 19:51:16.577+00,,"41",2,"Squaw Lake","State Hwy 46 @ Mile Post 25",24,16.7999992,0,"Itasca County","MN","USA",,,,"MN0041"
80,80,2013-03-06 19:51:16.578+00,,"42",2,"Cannon Falls","U.S. Hwy 52 @ Mile Post 90",90,25.6000004,0,"Goodhue County","MN","USA",,,,"MN0042"
81,81,2013-03-06 19:51:16.578+00,,"43",2,"Regal","State Hwy 55 @ Mile Post 98",97,21.2999992,0,"Stearns County","MN","USA",,,,"MN0043"
82,82,2013-03-06 19:51:16.579+00,,"44",2,"Mahnomen","U.S. Hwy 59 @ Mile Post 296",296,17.1000004,0,"Mahnomen County","MN","USA",,,,"MN0044"
83,83,2013-03-06 19:51:16.579+00,,"45",2,"Madelia","U.S. Hwy 60 @ Mile Post 86",86,25.8999996,0,"Watonwan County","MN","USA",,,,"MN0045"
84,84,2013-03-06 19:51:16.58+00,,"47",2,"Red Wing","U.S. Hwy 61 @ Mile Post 101",100,14.6000004,0,"Goodhue County","MN","USA",,,,"MN0047"
85,85,2013-03-06 19:51:16.58+00,,"48",2,"Grand Portage","State Hwy 61 @ Mile Post 146",146,0,0,"Cook County","MN","USA",,,,"MN0048"
86,86,2013-03-06 19:51:16.581+00,,"49",2,"Akeley / Chamberlain","State Hwy 64 @ Mile Post 42",42,10.3999996,0,"Hubbard County","MN","USA",,,,"MN0049"
87,87,2013-03-06 19:51:16.581+00,,"50",2,"McGrath","State Hwy 65 @ Mile Post 98",97,19.2000008,0,"Aitkin County","MN","USA",,,,"MN0050"
88,88,2013-03-06 19:51:16.582+00,,"51",2,"Jacobson / Ball Bluff","State Hwy 65 @ Mile Post 145",145,16.7999992,0,"Aitkin County","MN","USA",,,,"MN0051"
89,89,2013-03-06 19:51:16.583+00,,"52",2,"Effie","State Hwy 1 @ Mile Post 145",194,18.2999992,0,"Itasca County","MN","USA",,,,"MN0052"
90,90,2013-03-06 19:51:16.583+00,,"53",2,"Baudette / Waskish","State Hwy 72 @ Mile Post 40",39,33.5,0,"Beltrami County","MN","USA",,,,"MN0053"
91,91,2013-03-06 19:51:16.584+00,,"54",2,"Tenney","U.S. Hwy 75 @ Mile Post 188",188,19.5,0,"Wilkin County","MN","USA",,,,"MN0054"
92,92,2013-03-06 19:51:16.584+00,,"55",2,"Ottertail","State Hwy 78 @ Mile Post 34",34,12.8000002,0,"Otter Tail County","MN","USA",,,,"MN0055"
93,93,2013-03-06 19:51:16.585+00,,"56",2,"Gatzke","State Hwy 89 @ Mile Post 96",96,17.3999996,0,"Marshall County","MN","USA",,,,"MN0056"
94,94,2013-03-06 19:51:16.585+00,,"57",2,"St. Vincent","State Hwy 171 @ Mile Post 2",1,25.8999996,0,"Kittson County","MN","USA",,,,"MN0057"
95,95,2013-03-06 19:51:16.586+00,,"58",2,"Halstad","State Hwy 200 @ Mile Post 9",8,22.8999996,0,"Norman County","MN","USA",,,,"MN0058"
96,96,2013-03-06 19:51:16.586+00,,"59",2,"Marietta","U.S. Hwy 212 @ Mile Post 1",0,27.3999996,0,"Lac qui Parle County","MN","USA",,,,"MN0059"
97,97,2013-03-06 19:51:16.587+00,,"60",2,"East Grand Forks","U.S. Hwy 2 @ Mile Post 9",8,22.8999996,0,"Polk County","MN","USA",,,,"MN0060"
98,98,2013-03-06 19:51:16.587+00,,"61",2,"Cass Lake","U.S. Hwy 2 @ Mile Post 136",136,18.2999992,0,"Cass County","MN","USA",,,,"MN0061"
99,99,2013-03-06 19:51:16.588+00,,"62",2,"Lake Park","U.S. Hwy 10 @ Mile Post 32",31,23.7999992,0,"Becker County","MN","USA",,,,"MN0062"
100,100,2013-03-06 19:51:16.588+00,,"63",2,"Verndale","U.S. Hwy 10 @ Mile Post 94",94,25,0,"Wadena County","MN","USA",,,,"MN0063"
101,101,2013-03-06 19:51:16.589+00,,"64",2,"Rice","U.S. Hwy 10 @ Mile Post 162",161,22.6000004,0,"Benton County","MN","USA",,,,"MN0064"
102,102,2013-03-06 19:51:16.589+00,,"65",2,"Canton","U.S. Hwy 52 @ Mile Post 2",1,20.1000004,0,"Fillmore County","MN","USA",,,,"MN0065"
103,103,2013-03-06 19:51:16.59+00,,"66",2,"Cotton","U.S. Hwy 53 @ Mile Post 41",40,23.7999992,0,"Saint Louis County","MN","USA",,,,"MN0066"
104,104,2013-03-06 19:51:16.59+00,,"67",2,"Ash Lake","U.S. Hwy 53 @ Mile Post 129",129,37.7999992,0,"Saint Louis County","MN","USA",,,,"MN0067"
105,105,2013-03-06 19:51:16.591+00,,"68",2,"Brooks","U.S. Hwy 59 @ Mile Post 331",331,45.7000008,0,"Lake County","MN","USA",,,,"MN0068"
106,106,2013-03-06 19:51:16.591+00,,"69",2,"Kellogg","U.S. Hwy 61 @ Mile Post 53",52,27.1000004,0,"Wabasha County","MN","USA",,,,"MN0069"
107,107,2013-03-06 19:51:16.592+00,,"70",2,"Stewartville","U.S. Hwy 63 @ Mile Post 32",32,19.2000008,0,"Olmsted County","MN","USA",,,,"MN0070"
108,108,2013-03-06 19:51:16.593+00,,"71",2,"Jeffers","U.S. Hwy 71 @ Mile Post 43",43,21.6000004,0,"Cottonwood County","MN","USA",,,,"MN0071"
109,109,2013-03-06 19:51:16.593+00,,"72",2,"Margie","U.S. Hwy 71 @ Mile Post 379",379,34.0999985,0,"Koochiching County","MN","USA",,,,"MN0072"
110,110,2013-03-06 19:51:16.594+00,,"73",2,"Mankato","U.S. Hwy 169 @ Mile Post 52",52,26.5,0,"Blue Earth County","MN","USA",,,,"MN0073"
111,111,2013-03-06 19:51:16.594+00,,"74",2,"St. Peter","U.S. Hwy 169 @ Mile Post 69",69,10.3999996,0,"Nicollet County","MN","USA",,,,"MN0074"
112,112,2013-03-06 19:51:16.595+00,,"75",2,"Henderson / Belle Plaine","U.S. Hwy 169 @ Mile Post 86",86,16.5,0,"Scott County","MN","USA",,,,"MN0075"
113,113,2013-03-06 19:51:16.595+00,,"76",2,"Milaca","U.S. Hwy 169 @ Mile Post 200",199,19.2000008,0,"Mille Lacs County","MN","USA",,,,"MN0076"
114,114,2013-03-06 19:51:16.596+00,,"77",2,"Hinckley","Interstate 35 @ Mile Post 181",181,16.2000008,0,"Pine County","MN","USA",,,,"MN0077"
115,115,2013-03-06 19:51:16.596+00,,"78",2,"Roosevelt","State Hwy 11 @ Mile Post 108",107,15.5,0,"Roseau County","MN","USA",,,,"MN0078"
1589,1898,2013-03-06 19:51:17.4+00,,"582-6",38,"US 6 SLM 0.5 Henry County",,0,0,0,,,,,,,
116,116,2013-03-06 19:51:16.597+00,,"79",2,"New Prague","State Hwy 19 @ Mile Post 148",148,20.7000008,0,"Scott County","MN","USA",,,,"MN0079"
117,117,2013-03-06 19:51:16.597+00,,"80",2,"Thompson Hill","Interstate 35 @ Mile Post 248",247,18.2999992,0,"Saint Louis County","MN","USA",,,,"MN0080"
118,119,2013-03-06 19:51:16.598+00,,"82",2,"Duluth- Garfield Avenue","Interstate 35 @ Garfield Avenue",255,9.10000038,0,"Saint Louis County","MN","USA",,,,"MN0082"
119,120,2013-03-06 19:51:16.598+00,,"83",2,"Layfayette Tunnel near Two Harbors","State Hwy 61 @ Mile Post 32",32,21.2999992,0,"Lake County","MN","USA",,,,"MN0083"
120,121,2013-03-06 19:51:16.599+00,,"84",2,"Midway","U.S. Hwy 53 @ Mile Post 62",62,61,0,"Saint Louis County","MN","USA",,,,"MN0084"
121,122,2013-03-06 19:51:16.599+00,,"85",2,"Minneapolis- I-494 and MN-5","Interstate 494 @ Mile Post 18",17,54.9000015,0,"Hennepin County","MN","USA",,,,"MN0085"
122,123,2013-03-06 19:51:16.6+00,,"86",2,"Burnsville","Interstate 35W @ Mile Post 4",4,19.7999992,0,"Dakota County","MN","USA",,,,"MN0086"
123,124,2013-03-06 19:51:16.6+00,,"87",2,"Maple Grove","Interstate 94 @ Mile Post 217",216,0,0,"Hennepin County","MN","USA",,,,"MN0087"
124,125,2013-03-06 19:51:16.601+00,,"88",2,"Little Canada","Interstate 694 @ Mile Post 46",45,15.1999998,0,"Ramsey County","MN","USA",,,,"MN0088"
125,126,2013-03-06 19:51:16.601+00,,"89",2,"St. Paul- Cayuga Street Bridge","Interstate 35E @ Mile Post 46",108,29.2999992,0,"Ramsey County","MN","USA",,,,"MN0089"
126,127,2013-03-06 19:51:16.602+00,,"90",2,"St. Paul- MN-110 and I-494","State Hwy 110 @ Mile Post 5",4,15.1999998,0,"Ramsey County","MN","USA",,,,"MN0090"
127,128,2013-03-06 19:51:16.602+00,,"91",2,"Twig","State Hwy 53 @ Mile Post 20",20,54.9000015,0,"Saint Louis County","MN","USA",,,,"MN0091"
128,129,2013-03-06 19:51:16.603+00,,"92",2,"Mitchell Bridge","State Hwy 169 @ Mile Post 343",343,18.2999992,0,"Saint Louis County","MN","USA",,,,"MN0092"
129,130,2013-03-06 19:51:16.603+00,,"93",2,"Silver Cliff","State Hwy 61 @ Mile Post 30",30,0,0,"Lake County","MN","USA",,,,"MN0093"
130,131,2013-03-06 19:51:16.604+00,,"94",2,"Minneapolis- I-35W at Mississippi River Bridge","Interstate 35W @ Mile Post 20",18,0,0,"Hennepin County","MN","USA",,,,"MN0094"
131,132,2013-03-06 19:51:16.605+00,,"95",2,"Superior- Blatnick Bridge South","South Abutment of Blatnick Bridge",0,7.5999999,0,"Saint Louis County","MN","USA",,,,"MN0095"
132,133,2013-03-06 19:51:16.605+00,,"96",2,"Hope","Interstate 35 @ Mile Post 30",30,35.0999985,0,"Steele County","MN","USA",,,,"MN0096"
133,134,2013-03-06 19:51:16.606+00,,"97",2,"Atkinson Bridge","Interstate 35 @ Mile Post 231",231,10.6999998,0,"Carlton County","MN","USA",,,,"MN0097"
134,135,2013-03-06 19:51:16.606+00,,"98",2,"Red River Bridge","Interstate 94 @ Red River Bridge",0,13.6999998,0,,"MN","USA",,,,"MN0098"
135,136,2013-03-06 19:51:16.607+00,,"111-416",3,"SR111 @ Baccus","State Hwy 111 @ Baccus",4,0,0,,"UT","USA","SB shoulder","RWIS on a rise along SR111; mountains to west; val","Undeveloped part of SL; grass and brush",
136,137,2013-03-06 19:51:16.607+00,,"15-4220",3,"I-15 @ Black Ridge","Interstate 15 @ Black Ridge",42,0,0,"Iron County","UT","USA","NB on-ramp at Exit 43 (towards New Harmony) on lef","A line of hills to the east","Very grassy",
137,138,2013-03-06 19:51:16.608+00,,"15-13626",3,"I-15 @ Dog Valley","Interstate 15 @ Dog Valley",136,0,0,"Millard County","UT","USA","SB shoulder at rest stop on-ramp","Located as I-15 goes over a steep hill","Tree and brush covered slopes to the east and west",
138,139,2013-03-06 19:51:16.608+00,,"15-18364",3,"I-15 @ Scipio Summit","Interstate 15 @ Scipio Summit",183,0,0,"Millard County","UT","USA","SB off-ramp from Exit 184 (Ranch exit)","Hill country; RWIS at a hill summit","Grass, brush, and trees in the area",
139,140,2013-03-06 19:51:16.609+00,,"15-20010",3,"I-15 @ Sevier River","Interstate 15 @ Sevier River",200,0,0,,"UT","USA","Just north of bridge over Seveir River; in the med","Above a river","Grass, dirt, and shrubs in surrounding area",
140,141,2013-03-06 19:51:16.609+00,,"15-26576",3,"I-15 @ Provo Center Street","Interstate 15 @ Provo Center Street",265,0,0,"Utah County","UT","USA","NB on-ramp on left-hand side","Mountains to the east; lake to the west","Urban surroundings; grass",
141,142,2013-03-06 19:51:16.61+00,,"15-28573",3,"I-15 @ Alpine","Interstate 15 @ Alpine",285,0,0,"Utah County","UT","USA","From E frontage road over a barbed wire fence, or","At the point of the mountain on the Utah County si",,
142,143,2013-03-06 19:51:16.61+00,,"15-28763",3,"I-15 @ Bluffdale","Interstate 15 @ Bluffdale",287,0,0,"Salt Lake County","UT","USA","NB shoulder","Approaching the point of the mountain","Grass- and brush-covered hillside",
143,144,2013-03-06 19:51:16.611+00,,"15-29567",3,"I-15 @ 9000 S","Interstate 15 @ 9000 S",295,0,0,"Salt Lake County","UT","USA","NB on-ramp from EB 9000 S","None","Urban area; grass around RWIS",
144,145,2013-03-06 19:51:16.611+00,,"15-29910",3,"I-15 @ I-215","Interstate 15 @ I-215",299,0,0,"Salt Lake County","UT","USA","SB I-15 just after the I-215 WB exit ramp",,"Grassy around RWIS; urban area surrounding freeway",
145,146,2013-03-06 19:51:16.612+00,,"15-30464",3,"I-15 @ 2400 S","Interstate 15 @ 2400 S",304,0,0,"Salt Lake County","UT","USA","NB or SB inside lanes; RWIS is in the median just",,"In the middle of a freeway interchange; no vegetat",
146,147,2013-03-06 19:51:16.612+00,,"15-30726",3,"I-15 @ 600 S","Interstate 15 @ 600 S",307,0,0,"Salt Lake County","UT","USA",,"Next to concrete shoulder barrier; slopes downward","Urban; no vegetation",
147,148,2013-03-06 19:51:16.613+00,,"15-30776",3,"I-15 @ 500 S","Interstate 15 @ 500 S",307,0,0,"Salt Lake County","UT","USA","From 500 S to WB I-80 ramp on left-hand side",,"Urban; collection pond below RWIS",
148,1885,2013-03-06 19:51:16.613+00,,"200-1",38,"Hardin County Garage",,0,0,0,,,,,,,
149,1886,2013-03-06 19:51:16.614+00,,"200-2",38,"US 24 @ Indiana Line",,0,0,0,,,,,,,
150,1884,2013-03-06 19:51:16.614+00,,"200-0",38,"SR 127 @ SR 249",,0,0,0,,,,,,,
151,151,2013-03-06 19:51:16.615+00,,"15-32146",3,"I-15 @ Centerville","Interstate 15 @ Centerville",321,0,0,"Davis County","UT","USA","SB shoulder 1.5 miles before Centerville exit; bet","Next to a neighborhood sound wall; drainage pond a","Residential trees and pond",
152,152,2013-03-06 19:51:16.615+00,,"15-37777",3,"I-15 @ Tremonton","Interstate 15 @ Tremonton",377,0,0,"Box Elder County","UT","USA","RWIS in median just after a short bridge over a fa","RWIS on edge of steep bank leading to farm road go","Open valley filled with grass, farmland, and scatt",
182,182,2013-03-06 19:51:16.634+00,,"15-35881",3,"I-15 @ Willard POE","Interstate 15 @ Willard POE",358,0,0,,"UT","USA","NB Williard Point of Entry","Mountains to east","Open grassland; Willard Bay to west",
153,153,2013-03-06 19:51:16.616+00,,"15-39234",3,"I-15 @ Plymouth","Interstate 15 @ Plymouth",392,0,0,"Box Elder County","UT","USA","NB off-ramp and SR13 junction; on left-hand side","Hills to the east with trees; hills to the west wi","Long, open grass-covered valley; hills to east wit",
