,Air Temperature °F,Avg. Wind Direction °,Avg. Wind Speed mph,Dew Point °F,Freeze Point #3 °F,Freeze Point 1 °F,Freeze Point 2 °F,Freeze Point Approach °F,Freeze Point Bridge A °F,Freeze Point Bridge [index],Freeze Point Bridge °F,Freeze Point °F,Freezing Temp. Approach °F,Freezing Temperature Approach °F,Freezing Temperature °F,Friction Approach N/A,Friction Bridge N/A,Friction N/A,Gust Wind Direction °,Gust Wind Speed mph,Max Air Temperature °F,Min Air Temperature °F,Precipitation End Time timestamp,Precipitation Situation [logic],Precipitation Start Time timestamp,Precipitation Yes/No [logic],Rel. Humidity %,Road Condition # 3 [logic],Road Condition 1 [logic],Road Condition 2 [logic],Road Condition Approach [logic],Road Condition Bridge A [logic],Road Condition Bridge [logic],Road Condition [logic],Road Temp #3 °F,Road Temp Bridge °F,Road Temp. 1 °F,Road Temp. 2 °F,Road Temp. Approach °F,Road Temp. Bridge A °F,Road Temp. Bridge °F,Road Temperature Approach °F,Road Temperature Bridge °F,Saline Concentration %,Saline Concentration Approach %,Saline Concentration Bridge  %,Saline Concentration Bridge %,Saline Concentration Bridge [rate],Spot Wind Direction °,Sub Surface Temperature °F,SubSurface Temperature °F,Subsurface Temperature  °F,Subsurface Temperature 1 °F,Subsurface Temperature Approach °F,Surface Salinity #3 %,Surface Salinity 1 %,Surface Salinity 2 %,Surface Salinity Approach %,Surface Salinity Bridge %,Surface Salinity Bridge A %,Surface Temperature Approach °F,Surface Temperature °F,Visibility m,Water Film  Approach mil,Water Film  mil,Water Film Approach mil,Water Film Height Approach mil,Water Film Height Bridge mil,WaterFilm Height Bridge mil,Wet Bulb Temperature °F,Wind Speed mph,date_time
,67.46,75.00,8.72,30.20,,,,,,,,,,,,,,,74.00,19.46,68.00,39.20,,,,2.00,24.00,,,,3.00,,3.00,,,,,,91.76,,88.52,,,,,,,,81.00,,56.12,,,,,,,,,,,,,,,,,,,53.06,12.08,2016/04/14 20:00:00
,67.82,65.00,6.49,30.38,,,,,,,,,,,,,,,136.00,17.22,68.00,39.20,,,,2.00,24.00,,,,3.00,,3.00,,,,,,91.40,,87.98,,,,,,,,66.00,,56.30,,,,,,,,,,,,,,,,,,,53.24,5.82,2016/04/14 20:10:00
,67.64,95.00,10.07,30.38,,,,,,,,,,,,,,,101.00,14.76,68.00,39.20,,,,2.00,24.00,,,,3.00,,3.00,,,,,,91.40,,88.16,,,,,,,,105.00,,56.48,,,,,,,,,,,,,,,,,,,53.06,10.29,2016/04/14 20:20:00
,67.82,15.00,4.03,30.56,,,,,,,,,,,,,,,76.00,14.09,68.36,39.20,,,,2.00,24.00,,,,3.00,,3.00,,,,,,91.58,,87.62,,,,,,,,28.00,,56.84,,,,,,,,,,,,,,,,,,,53.24,5.59,2016/04/14 20:30:00
,68.90,105.00,6.26,29.66,,,,,,,,,,,,,,,20.00,11.63,69.08,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,22.00,,,,3.00,,3.00,,,,,,90.14,,92.84,,,,,,,,126.00,54.68,,,,,,,,,,,,,,,,,,,,53.96,6.49,2016/04/14 19:00:00
,68.90,95.00,5.37,28.76,,,,,,,,,,,,,,,103.00,12.97,69.80,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,22.00,,,,3.00,,3.00,,,,,,91.22,,93.56,,,,,,,,72.00,54.86,,,,,,,,,,,,,,,,,,,,53.78,8.28,2016/04/14 19:10:00
,68.90,75.00,4.25,28.22,,,,,,,,,,,,,,,47.00,13.42,69.80,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,21.00,,,,3.00,,3.00,,,,,,90.86,,93.38,,,,,,,,75.00,54.86,,,,,,,,,,,,,,,,,,,,53.78,3.80,2016/04/14 19:20:00
,69.44,85.00,8.05,27.86,,,,,,,,,,,,,,,83.00,12.97,70.16,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,21.00,,,,3.00,,3.00,,,,,,91.58,,94.28,,,,,,,,107.00,54.86,,,,,,,,,,,,,,,,,,,,54.14,4.92,2016/04/14 19:30:00
,69.62,105.00,10.74,26.60,,,,,,,,,,,,,,,113.00,14.99,70.16,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,19.00,,,,3.00,,3.00,,,,,,91.76,,94.64,,,,,,,,102.00,54.86,,,,,,,,,,,,,,,,,,,,54.32,12.53,2016/04/14 19:40:00
,69.80,50.00,4.70,26.60,,,,,,,,,,,,,,,102.00,11.86,70.16,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,19.00,,,,3.00,,3.00,,,,,,91.76,,94.82,,,,,,,,90.00,55.04,,,,,,,,,,,,,,,,,,,,54.50,6.71,2016/04/14 19:50:00
,70.16,95.00,3.58,26.60,,,,,,,,,,,,,,,115.00,11.18,70.16,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,19.00,,,,3.00,,3.00,,,,,,91.40,,94.46,,,,,,,,55.00,55.04,,,,,,,,,,,,,,,,,,,,54.68,1.79,2016/04/14 20:00:00
,70.70,105.00,4.92,26.42,,,,,,,,,,,,,,,117.00,10.29,70.70,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,18.00,,,,3.00,,3.00,,,,,,90.50,,94.10,,,,,,,,31.00,55.04,,,,,,,,,,,,,,,,,,,,55.04,4.70,2016/04/14 20:10:00
,71.42,140.00,4.70,26.96,,,,,,,,,,,,,,,26.00,11.63,71.42,37.58,2016/04/13 12:05:22,,2016/04/13 12:06:07,1.00,18.00,,,,3.00,,3.00,,,,,,90.68,,94.28,,,,,,,,118.00,55.22,,,,,,,,,,,,,,,,,,,,55.40,5.14,2016/04/14 20:20:00
,,,,,,,,,,,,,,,,,,0.82,,,73.40,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,10.00,,3.00,,,,,,111.49,,108.32,,,,,,,,,,,80.06,,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:01:00
,72.86,5.00,5.59,39.92,,,,,,,,,,,,,,,2.00,10.51,73.40,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,,,3.00,,,,,,,,107.60,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,57.38,8.28,2016/04/14 19:02:00
,72.32,5.00,6.04,39.56,,,,,,,,,,,,,,0.82,3.00,11.41,73.40,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,10.00,,3.00,,,,,,111.48,,108.32,,,,,,,,3.00,,,80.56,,,,,,,,,,,,,,0.00,,,,57.02,7.83,2016/04/14 19:10:00
,72.32,5.00,6.26,39.74,,,,,,,,,,,,,,,2.00,11.41,73.40,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,,,3.00,,,,,,,,107.60,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,57.02,8.95,2016/04/14 19:20:00
,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,10.00,,,,,,,,111.33,,,,,,,,,,,,,81.11,,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:21:00
,73.76,5.00,4.25,40.10,,,,,,,,,,,,,,,1.00,9.84,73.76,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,29.00,,,,,,3.00,,,,,,,,110.30,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,57.92,4.70,2016/04/14 19:30:00
,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,10.00,,,,,,,,111.92,,,,,,,,,,,,,81.57,,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:31:00
,73.22,5.00,5.14,40.28,,,,,,,,,,,,,,,1.00,12.08,73.94,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,,,3.00,,,,,,,,108.32,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,57.56,3.58,2016/04/14 19:40:00
,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,10.00,,,,,,,,111.36,,,,,,,,,,,,,82.01,,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:41:00
,73.94,5.00,1.79,41.18,,,,,,,,,,,,,,0.82,3.00,8.28,73.94,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,10.00,,3.00,,,,,,110.89,,107.96,,,,,,,,3.00,,,82.42,,,,,,,,,,,,,,0.00,,,,58.10,2.01,2016/04/14 19:50:00
,73.94,5.00,6.71,41.00,,,,,,,,,,,,,,,3.00,12.97,74.84,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,,,3.00,,,,,,,,106.52,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,58.10,7.38,2016/04/14 20:00:00
,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,10.00,,,,,,,,110.11,,,,,,,,,,,,,82.80,,,,,,,,,,,,,,0.00,,,,,,2016/04/14 20:01:00
,73.94,5.00,3.13,40.82,,,,,,,,,,,,,,,3.00,8.28,74.84,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,,,3.00,,,,,,,,106.34,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,58.10,0.45,2016/04/14 20:10:00
,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,10.00,,,,,,,,109.30,,,,,,,,,,,,,83.12,,,,,,,,,,,,,,0.00,,,,,,2016/04/14 20:11:00
,73.94,5.00,3.80,41.54,,,,,,,,,,,,,,,2.00,9.84,74.84,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,31.00,,,,,,3.00,,,,,,,,105.98,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,58.28,3.13,2016/04/14 20:20:00
,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,10.00,,,,,,,,108.94,,,,,,,,,,,,,83.37,,,,,,,,,,,,,,0.00,,,,,,2016/04/14 20:21:00
,73.40,5.00,8.50,40.46,,,,,,,,,,,,,,,2.00,12.97,74.84,44.96,2016/04/13 10:28:52,,2016/04/13 10:26:49,2.00,30.00,,,,,,3.00,,,,,,,,105.26,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,57.74,7.83,2016/04/14 20:30:00
,65.30,,,34.16,,,,,,,,,,,,,,,,,66.38,36.50,,,,2.00,31.00,,,,3.00,,,,,,,,93.38,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,50.18,,2016/04/14 19:00:00
,66.56,,,35.96,,,,,,,,,,,,,,,,,66.56,36.50,,,,2.00,32.00,,,,3.00,,,,,,,,94.28,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,51.26,,2016/04/14 19:10:00
,66.74,,,35.60,,,,,,,,,,,,,,,,,67.46,36.50,,,,2.00,31.00,,,,3.00,,,,,,,,93.92,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,51.26,,2016/04/14 19:20:00
,66.56,,,34.34,,,,,,,,,,,,,,,,,67.46,36.50,,,,2.00,30.00,,,,3.00,,,,,,,,95.00,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,50.72,,2016/04/14 19:30:00
,67.10,,,35.78,,,,,,,,,,,,,,,,,67.46,36.50,,,,2.00,31.00,,,,3.00,,,,,,,,95.18,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,51.44,,2016/04/14 19:40:00
,67.10,,,34.88,,,,,,,,,,,,,,,,,67.82,36.50,,,,2.00,30.00,,,,3.00,,,,,,,,93.38,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,51.08,,2016/04/14 19:50:00
,68.72,,,33.26,,,,,,,,,,,,,,,,,68.72,36.50,,,,2.00,27.00,,,,3.00,,,,,,,,92.84,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,51.44,,2016/04/14 20:00:00
,68.36,,,35.24,,,,,,,,,,,,,,,,,68.72,36.50,,,,2.00,29.00,,,,3.00,,,,,,,,91.94,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,51.80,,2016/04/14 20:10:00
,67.82,,,33.44,,,,,,,,,,,,,,,,,68.72,36.50,,,,2.00,28.00,,,,3.00,,,,,,,,90.32,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,51.08,,2016/04/14 20:20:00
,68.72,,,36.32,,,,,,,,,,,,,,,,,68.72,36.50,,,,2.00,30.00,,,,3.00,,,,,,,,91.58,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,52.34,,2016/04/14 20:30:00
,63.32,65.00,8.95,33.80,,,,,,,,,,,,,,,75.00,14.99,63.32,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,33.00,,,,3.00,,3.00,,,,,,90.50,,96.26,,,,,,,,52.00,53.42,,,,,,,,,,,,,,,,,,,,49.10,4.70,2016/04/14 19:00:00
,63.14,60.00,7.16,31.46,,,,,,,,,,,,,,,78.00,16.11,63.86,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,30.00,,,,3.00,,3.00,,,,,,91.76,,96.62,,,,,,,,54.00,53.60,,,,,,,,,,,,,,,,,,,,48.20,6.71,2016/04/14 19:10:00
,63.50,55.00,7.16,33.08,,,,,,,,,,,,,,,87.00,16.11,63.86,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,32.00,,,,3.00,,3.00,,,,,,91.58,,96.44,,,,,,,,61.00,53.60,,,,,,,,,,,,,,,,,,,,48.92,7.83,2016/04/14 19:20:00
,64.22,55.00,5.82,33.62,,,,,,,,,,,,,,,97.00,15.66,64.40,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,31.00,,,,3.00,,3.00,,,,,,90.86,,95.36,,,,,,,,100.00,53.78,,,,,,,,,,,,,,,,,,,,49.46,5.82,2016/04/14 19:30:00
,64.94,65.00,6.04,33.08,,,,,,,,,,,,,,,74.00,14.99,64.94,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,30.00,,,,3.00,,3.00,,,,,,91.04,,95.72,,,,,,,,61.00,53.96,,,,,,,,,,,,,,,,,,,,49.64,6.71,2016/04/14 19:40:00
,64.04,85.00,5.59,31.82,,,,,,,,,,,,,,,80.00,7.83,64.94,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,29.00,,,,3.00,,3.00,,,,,,90.50,,96.26,,,,,,,,93.00,54.14,,,,,,,,,,,,,,,,,,,,48.74,4.70,2016/04/14 19:50:00
,64.40,70.00,6.71,30.02,,,,,,,,,,,,,,,67.00,9.84,64.94,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,27.00,,,,3.00,,3.00,,,,,,91.40,,95.72,,,,,,,,60.00,54.32,,,,,,,,,,,,,,,,,,,,48.56,7.38,2016/04/14 20:00:00
,65.12,50.00,7.16,32.72,,,,,,,,,,,,,,,49.00,9.40,65.12,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,28.00,,,,3.00,,3.00,,,,,,91.04,,95.54,,,,,,,,52.00,54.50,,,,,,,,,,,,,,,,,,,,49.64,8.28,2016/04/14 20:10:00
,64.94,60.00,4.92,31.46,,,,,,,,,,,,,,,51.00,8.28,65.66,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,28.00,,,,3.00,,3.00,,,,,,90.50,,95.36,,,,,,,,66.00,54.68,,,,,,,,,,,,,,,,,,,,49.10,4.70,2016/04/14 20:20:00
,65.30,75.00,5.14,31.82,,,,,,,,,,,,,,,65.00,8.28,65.66,33.80,2016/04/11 14:54:55,,2016/04/11 10:08:48,2.00,28.00,,,,3.00,,3.00,,,,,,90.14,,95.54,,,,,,,,79.00,54.86,,,,,,,,,,,,,,,,,,,,49.28,6.26,2016/04/14 20:30:00
,43.16,135.00,6.26,23.18,,,,,,,,,,,,,,,134.00,11.41,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,130.00,,,,,,,,,,,,,,,,,,,,,36.68,4.70,2016/04/14 04:01:00
,42.80,120.00,7.16,22.64,,,,,,,,,,,,,,,103.00,11.41,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,115.00,,,,,,,,,,,,,,,,,,,,,36.32,8.95,2016/04/14 04:11:00
,,135.00,10.96,,,,,,,,,,,,,,,,,15.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.00,,,,,,,,,,,,,,,,,,,,,,6.49,2016/04/14 04:20:00
,42.62,,,22.46,,,,,,,,,,,,,,,129.00,,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.14,,2016/04/14 04:21:00
,41.90,130.00,6.04,21.92,,,,,,,,,,,,,,,139.00,12.08,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,145.00,,,,,,,,,,,,,,,,,,,,,35.60,6.49,2016/04/14 04:31:00
,41.18,130.00,8.28,21.20,,,,,,,,,,,,,,,125.00,12.97,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,123.00,,,,,,,,,,,,,,,,,,,,,34.88,5.14,2016/04/14 04:40:00
,40.82,110.00,8.05,20.84,,,,,,,,,,,,,,,134.00,13.65,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,,,,,,,,34.70,11.86,2016/04/14 04:51:00
,40.82,115.00,10.96,20.84,,,,,,,,,,,,,,,114.00,15.66,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,133.00,,,,,,,,,,,,,,,,,,,,,34.70,12.75,2016/04/14 05:01:00
,40.46,125.00,7.83,20.48,,,,,,,,,,,,,,,105.00,14.32,55.76,30.92,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,122.00,,,,,,,,,,,,,,,,,,,,,34.34,5.59,2016/04/14 05:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,Error,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/04/14 05:11:00
,40.28,115.00,8.05,20.30,,,,,,,,,,,,,,,117.00,14.99,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,102.00,,,,,,,,,,,,,,,,,,,,,34.16,8.28,2016/04/14 05:21:00
,39.92,115.00,7.16,20.12,,,,,,,,,,,,,,,129.00,12.08,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,129.00,,,,,,,,,,,,,,,,,,,,,33.98,7.61,2016/04/14 05:31:00
,39.56,115.00,4.92,19.76,,,,,,,,,,,,,,,111.00,10.74,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,104.00,,,,,,,,,,,,,,,,,,,,,33.62,4.92,2016/04/14 05:40:00
,39.20,125.00,5.14,19.40,,,,,,,,,,,,,,,90.00,7.38,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,111.00,,,,,,,,,,,,,,,,,,,,,33.26,4.92,2016/04/14 05:51:00
,38.66,110.00,4.70,18.86,,,,,,,,,,,,,,,107.00,8.28,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,103.00,,,,,,,,,,,,,,,,,,,,,32.90,5.37,2016/04/14 06:01:00
,38.66,120.00,6.04,19.04,,,,,,,,,,,,,,,111.00,8.72,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,114.00,,,,,,,,,,,,,,,,,,,,,32.90,6.49,2016/04/14 06:10:00
,,115.00,7.16,,,,,,,,,,,,,,,,,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.00,,,,,,,,,,,,,,,,,,,,,,7.83,2016/04/14 06:20:00
,38.66,,,19.04,,,,,,,,,,,,,,,102.00,,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.90,,2016/04/14 06:21:00
,38.48,110.00,6.93,18.86,,,,,,,,,,,,,,,132.00,9.62,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,32.72,5.59,2016/04/14 06:31:00
,38.12,115.00,7.16,18.32,,,,,,,,,,,,,,,120.00,11.18,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,108.00,,,,,,,,,,,,,,,,,,,,,32.36,6.49,2016/04/14 06:41:00
,38.12,110.00,7.83,18.50,,,,,,,,,,,,,,,114.00,12.75,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,112.00,,,,,,,,,,,,,,,,,,,,,32.36,6.04,2016/04/14 06:51:00
,37.94,115.00,6.26,18.14,,,,,,,,,,,,,,,117.00,11.41,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,109.00,,,,,,,,,,,,,,,,,,,,,32.18,5.59,2016/04/14 07:01:00
,37.40,100.00,3.13,17.78,,,,,,,,,,,,,,,120.00,8.05,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,,,,,,,,31.82,2.68,2016/04/14 07:10:00
,37.04,115.00,4.25,17.42,,,,,,,,,,,,,,,128.00,5.82,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,123.00,,,,,,,,,,,,,,,,,,,,,31.46,5.59,2016/04/14 07:21:00
,37.04,115.00,5.37,17.42,,,,,,,,,,,,,,,139.00,8.28,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,118.00,,,,,,,,,,,,,,,,,,,,,31.46,5.37,2016/04/14 07:31:00
,36.50,115.00,6.26,17.06,,,,,,,,,,,,,,,137.00,8.50,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,,,,,,,,31.10,5.82,2016/04/14 07:41:00
,36.68,100.00,6.49,17.06,,,,,,,,,,,,,,,118.00,8.50,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,,,,,,,,31.28,6.93,2016/04/14 07:51:00
,36.32,100.00,5.14,16.88,,,,,,,,,,,,,,,103.00,8.28,55.76,30.92,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,117.00,,,,,,,,,,,,,,,,,,,,,30.92,6.26,2016/04/14 08:01:00
,36.50,115.00,6.04,16.88,,,,,,,,,,,,,,,116.00,8.50,55.76,31.46,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,105.00,,,,,,,,,,,,,,,,,,,,,31.10,4.70,2016/04/14 08:10:00
,35.96,100.00,2.91,16.52,,,,,,,,,,,,,,,102.00,7.83,55.76,31.46,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,82.00,,,,,,,,,,,,,,,,,,,,,30.56,3.80,2016/04/14 08:20:00
,35.60,110.00,4.03,15.98,,,,,,,,,,,,,,,101.00,7.16,55.76,31.46,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,101.00,,,,,,,,,,,,,,,,,,,,,30.20,5.14,2016/04/14 08:30:00
,35.42,105.00,4.25,15.98,,,,,,,,,,,,,,,112.00,6.26,55.76,31.46,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,105.00,,,,,,,,,,,,,,,,,,,,,30.20,3.58,2016/04/14 08:41:00
,35.06,100.00,4.70,15.62,,,,,,,,,,,,,,,94.00,6.26,55.76,31.46,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,93.00,,,,,,,,,,,,,,,,,,,,,29.84,4.92,2016/04/14 08:50:00
,35.42,115.00,6.04,15.98,,,,,,,,,,,,,,,119.00,8.05,55.76,31.46,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,121.00,,,,,,,,,,,,,,,,,,,,,30.20,5.82,2016/04/14 09:00:00
,35.06,105.00,5.14,15.62,,,,,,,,,,,,,,,119.00,9.40,55.76,32.54,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,,,,,,,,29.84,4.47,2016/04/14 09:11:00
,35.06,85.00,3.80,15.62,,,,,,,,,,,,,,,99.00,5.82,55.76,32.54,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,79.00,,,,,,,,,,,,,,,,,,,,,29.84,3.58,2016/04/14 09:20:00
,35.06,90.00,2.68,15.62,,,,,,,,,,,,,,,101.00,5.14,55.76,32.54,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,86.00,,,,,,,,,,,,,,,,,,,,,29.84,3.36,2016/04/14 09:30:00
,34.88,60.00,3.13,15.44,,,,,,,,,,,,,,,79.00,5.14,55.76,32.54,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,53.00,,,,,,,,,,,,,,,,,,,,,29.66,3.13,2016/04/14 09:41:00
,,65.00,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/04/14 09:50:00
,35.24,,,15.80,,,,,,,,,,,,,,,67.00,5.59,55.76,32.54,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,,,,,,,,30.02,1.57,2016/04/14 09:51:00
,35.42,85.00,2.01,15.98,,,,,,,,,,,,,,,57.00,5.82,55.76,32.54,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,90.00,,,,,,,,,,,,,,,,,,,,,30.20,3.13,2016/04/14 10:00:00
,35.42,75.00,2.91,15.98,,,,,,,,,,,,,,,65.00,5.59,55.76,33.44,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,64.00,,,,,,,,,,,,,,,,,,,,,30.20,1.79,2016/04/14 10:11:00
,35.24,65.00,3.58,15.80,,,,,,,,,,,,,,,64.00,6.04,55.76,33.44,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,,,,,,,,30.02,3.36,2016/04/14 10:20:00
,35.24,90.00,2.91,15.80,,,,,,,,,,,,,,,59.00,6.93,55.76,33.44,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,,,,,,,,30.02,4.47,2016/04/14 10:31:00
,34.88,85.00,3.58,15.44,,,,,,,,,,,,,,,82.00,6.26,55.76,33.44,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,,,,,,,,29.66,3.58,2016/04/14 10:40:00
,35.06,75.00,3.13,15.62,,,,,,,,,,,,,,,80.00,6.49,55.76,33.44,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,29.84,4.03,2016/04/14 10:51:00
,34.88,50.00,2.68,15.44,,,,,,,,,,,,,,,49.00,6.26,55.76,33.44,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,76.00,,,,,,,,,,,,,,,,,,,,,29.66,2.01,2016/04/14 11:01:00
,34.88,85.00,3.36,15.44,,,,,,,,,,,,,,,57.00,6.49,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,,,,,,,,29.66,3.36,2016/04/14 11:10:00
,34.88,80.00,4.03,15.44,,,,,,,,,,,,,,,78.00,5.82,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,,,,,,,,29.66,5.59,2016/04/14 11:21:00
